kanji,hiragana,korean
荒っぽい,あらっぽい,거칠다
おびただしい,おびただしい,엄청나다
くすぐったい,くすぐったい,간지럽다
ここちよい,ここちよい,상쾌하다
心細い,こころぼそい,불안하다
凄まじい,すさまじい,무섭다
悩ましい,なやましい,고민스럽다
眠たい,ねむたい,졸리다
幅広い,はばひろい,폭넓다
紛らわしい,まぎらわしい,헷갈리다
あべこべだ,あべこべだ,뒤바뀌다
空ろだ,うつろだ,공허하다
円滑だ,えんかつだ,원활하다
おおまかだ,おおまかだ,대략적이다
おおらかだ,おおらかだ,너글너글하다
頑固だ,がんこだ,끈질기다
完璧だ,かんぺきだ,완벽하다
気軽だ,きがるだ,"부담 없다"
強硬だ,きょうこうだ,강경하다
堅実だ,けんじつだ,견실하다
厳密だ,げんみつだ,엄밀하다
賢明だ,けんめいだ,현명하다
孤独だ,こどくだ,고독하다
固有だ,こゆうだ,고유하다
コンスタントだ,こんすたんとだ,일정하다
早急だ/早急だ,さっきゅうだ/そうきゅうだ,조급하다
神聖だ,しんせいだ,신성하다
正常だ,せいじょうだ,정상이다
盛大だ,せいだいだ,성대하다
静的だ,せいてきだ,정적이다
精力的だ,せいりょくてきだ,활기차다
絶大だ,ぜつだいだ,절대적이다
善良だ,ぜんりょうだ,선량하다
壮大だ,そうだいだ,장대하다
対等だ,たいとうだ,대등하다
多角的だ,たかくてきだ,다각적이다
多忙だ,たぼうだ,"바쁘다, 다망하다"
知的だ,ちてきだ,지적이다
つぶらだ,つぶらだ,동글동글하다
同等だ,どうとうだ,동등하다
特有だ,とくゆうだ,특유이다
鈍感だ,どんかんだ,둔감하다
貧弱だ,ひんじゃくだ,빈약하다
頻繁だ,ひんぱんだ,빈번하다
貧乏だ,びんぼうだ,가난하다
不順だ,ふじゅんだ,불순하다
不調だ,ふちょうだ,"상태가 나쁘다"
不明だ,ふめいだ,불명하다
不良だ,ふりょうだ,불량하다
へとへとだ,へとへとだ,기진맥진하다
まちまちだ,まちまちだ,가지각색이다
無意味だ,むいみだ,무의미하다
無効だ,むこうだ,무효하다
無邪気だ,むじゃきだ,천진난만하다
無知だ,むちだ,무지하다
無茶だ,むちゃだ,터무니없다
無謀だ,むぼうだ,무모하다
無用だ,むようだ,"필요 없다"
綿密だ,めんみつだ,면밀하다
有益だ,ゆうえきだ,유익하다
有望だ,ゆうぼうだ,유망하다
有力だ,ゆうりょくだ,유력하다
良好だ,りょうこうだ,양호하다
良質だ,りょうしつだ,양질이다
ありのまま,ありのまま,"있는 그대로"
幾多,いくた,수많음
いとも,いとも,매우
うずうず,うずうず,근질근질
うんざり,うんざり,지긋지긋하다
大方,おおかた,대부분
がっくり,がっくり,맥없이
がっしり,がっしり,"딱 벌어짐"
がっちり,がっちり,"빈틈없이, 튼튼히"
がらりと,がらりと,싹
きちっと,きちっと,"어김없이, 깔끔히"
きっかり,きっかり,정확히
きっちり,きっちり,꽉
きっぱり,きっぱり,"딱 잘라"
急遽,きゅうきょ,급히
くっきり,くっきり,뚜렷하게
ぐっと,ぐっと,"힘껏, 훨씬"
くよくよ,くよくよ,끙끙
げっそり,げっそり,홀쪽히
公然,こうぜん,공연히
さっと,さっと,휙
しいて,しいて,"억지로, 굳이"
じっくり,じっくり,차분하게
じめじめ,じめじめ,축축
ずっしり,ずっしり,묵직이
ずらっと,ずらっと,"줄줄이, 죽"
ずるずる,ずるずる,질질
すんなり,すんなり,수월히
整然と,せいぜんと,정연하게
せかせか,せかせか,부산하게
そわそわ,そわそわ,안절부절
大概,たいがい,대개
だぶだぶ,だぶだぶ,헐렁헐렁
断然,だんぜん,단연
ちやほや,ちやほや,애지중지
ちらっと,ちらっと,흘끗
つくづく,つくづく,곰곰이
てきぱき,てきぱき,척척
てっきり,てっきり,영락없이
堂々,どうどう,당당
とりわけ,とりわけ,특히
長々,ながなが,장황하게
なにより,なにより,"가장 좋음"
日夜,にちや,밤낮으로
はらはら,はらはら,조마조마
ひしひしと,ひしひしと,"절실히, 절절히"
びっしょり,びっしょり,흠뻑
ひょっとして,ひょっとして,어쩌면
ぶかぶか,ぶかぶか,헐렁헐렁
ふらふら,ふらふら,휘청휘청
ぶらぶら,ぶらぶら,어슬렁어슬렁
ぺこぺこ,ぺこぺこ,굽실굽실
ほっと,ほっと,"한숨 (돌리다)"
ぼつぼつ,ぼつぼつ,여기저기
まことに,まことに,참으로
まさしく,まさしく,틀림없이
みっしり,みっしり,"잔뜩, 충실히"
無性に,むしょうに,"까닭 없이"
無論,むろん,물론
もしかして,もしかして,혹시
もっぱら,もっぱら,"한결같이, 온통"
やんわり,やんわり,부드럽게
歴然と,れきぜんと,분명하게
片手間,かたてま,짬
超高速,ちょうこうそく,초고속
超満員,ちょうまんいん,초만원
当病院,とうびょういん,"이 병원"
当ホテル,とうほてる,"이 호텔"
被選挙権,ひせんきょけん,피선거권
猛反対,もうはんたい,맹반대
猛練習,もうれんしゅう,맹연습
温泉街,おんせんがい,온천가
住宅街,じゅうたくがい,주택가
三人掛け,さんにんがけ,"3인이 앉음"
価値観,かちかん,가치관
職業観,しょくぎょうかん,직업관
外資系,がいしけい,외자계
生態系,せいたいけい,생태계
英語圏,えいごけん,영어권
首都圏,しゅとけん,수도권
依存症,いぞんしょう,의존증
恐怖症,きょうふしょう,공포증
許可証,きょかしょう,허가증
保険証,ほけんしょう,보험증
経験上,けいけんじょう,경험상
歴史上,れきしじょう,역사상
定額制,ていがくせい,정액제
価格帯,かかくたい,가격대
時間帯,じかんたい,시간대
実力派,じつりょくは,실력파
少数派,しょうすうは,소수파
日増し,ひまし,"날이 갈수록 더함"
汗まみれ,あせまみれ,땀투성이
ほこりまみれ,ほこりまみれ,먼지투성이
現実味,げんじつみ,현실성
真実味,しんじつみ,진실성
情報網,じょうほうもう,정보망